date,type,desc,tx,tn,sym
2021-08-27 12:01,today, bewölkt,21,13,2.png
2021-08-27 12:01,1-day fc,leicht bewölkt,19°,12°,2.png
2021-08-27 12:01,2-day fc,leicht bewölkt,20°,11°,2.png
2021-08-27 12:01,3-day fc,leicht bewölkt,20°,12°,2.png
2021-08-27 12:01,4-day fc,sonnig,22°,12°,1.png
2021-08-27 12:39,today,leicht bewölkt,21,13,2.png
2021-08-27 12:39,1-day fc,leicht bewölkt,19°,12°,2.png
2021-08-27 12:39,2-day fc,leicht bewölkt,20°,11°,2.png
2021-08-27 12:39,3-day fc,leicht bewölkt,20°,12°,2.png
2021-08-27 12:39,4-day fc,sonnig,22°,12°,1.png
2021-08-27 12:42,today,leicht bewölkt,21,13,2.png
2021-08-27 12:42,1-day fc,leicht bewölkt,19°,12°,2.png
2021-08-27 12:42,2-day fc,leicht bewölkt,20°,11°,2.png
2021-08-27 12:42,3-day fc,leicht bewölkt,20°,12°,2.png
2021-08-27 12:42,4-day fc,sonnig,22°,12°,1.png
2021-08-27 19:45,today,leicht bewölkt,21,13,2.png
2021-08-27 19:45,1-day fc,leicht bewölkt,19°,12°,2.png
2021-08-27 19:45,2-day fc,leicht bewölkt,20°,11°,2.png
2021-08-27 19:45,3-day fc,leicht bewölkt,20°,12°,2.png
2021-08-27 19:45,4-day fc,sonnig,22°,12°,1.png
2021-08-30 19:45,today,leicht bewölkt,21,13,2.png
2021-08-30 19:45,1-day fc,leicht bewölkt,21°,12°,2.png
2021-08-30 19:45,2-day fc,sonnig,23°,12°,1.png
2021-08-30 19:45,3-day fc,leicht bewölkt,24°,12°,2.png
2021-08-30 19:45,4-day fc,Regenschauer,23°,14°,10.png
2021-08-31 19:45,today,leicht bewölkt,22,13,2.png
2021-08-31 19:45,1-day fc,sonnig,23°,13°,1.png
2021-08-31 19:45,2-day fc,sonnig,24°,12°,1.png
2021-08-31 19:45,3-day fc,Regenschauer,23°,15°,10.png
2021-08-31 19:45,4-day fc,Regenschauer,24°,14°,10.png
2021-08-31 20:31,today,leicht bewölkt,22,13,2.png
2021-08-31 20:31,1-day fc,sonnig,23°,13°,1.png
2021-08-31 20:31,2-day fc,sonnig,24°,12°,1.png
2021-08-31 20:31,3-day fc,Regenschauer,23°,15°,10.png
2021-08-31 20:31,4-day fc,Regenschauer,24°,14°,10.png
2021-09-01 19:45,today,sonnig,23,14,1.png
2021-09-01 19:45,1-day fc,sonnig,24°,12°,1.png
2021-09-01 19:45,2-day fc,leicht bewölkt,24°,15°,2.png
2021-09-01 19:45,3-day fc,leicht bewölkt,25°,14°,2.png
2021-09-01 19:45,4-day fc,leicht bewölkt,26°,14°,2.png
