date,type,desc,tx,tn,sym
2021-08-27 12:04,today,cht bewölkt,26,18,2.png
2021-08-27 12:04,1-day fc,leicht bewölkt,24°,15°,2.png
2021-08-27 12:04,2-day fc,leicht bewölkt,23°,14°,2.png
2021-08-27 12:04,3-day fc,leicht bewölkt,23°,15°,2.png
2021-08-27 12:04,4-day fc,leicht bewölkt,25°,15°,2.png
2021-08-27 12:39,today,leicht bewölkt,26,18,2.png
2021-08-27 12:39,1-day fc,leicht bewölkt,24°,15°,2.png
2021-08-27 12:39,2-day fc,leicht bewölkt,23°,14°,2.png
2021-08-27 12:39,3-day fc,leicht bewölkt,23°,15°,2.png
2021-08-27 12:39,4-day fc,leicht bewölkt,25°,15°,2.png
2021-08-27 12:42,today,leicht bewölkt,26,18,2.png
2021-08-27 12:42,1-day fc,leicht bewölkt,24°,15°,2.png
2021-08-27 12:42,2-day fc,leicht bewölkt,23°,14°,2.png
2021-08-27 12:42,3-day fc,leicht bewölkt,23°,15°,2.png
2021-08-27 12:42,4-day fc,leicht bewölkt,25°,15°,2.png
2021-08-27 19:45,today,leicht bewölkt,26,18,2.png
2021-08-27 19:45,1-day fc,leicht bewölkt,24°,15°,2.png
2021-08-27 19:45,2-day fc,leicht bewölkt,23°,14°,2.png
2021-08-27 19:45,3-day fc,leicht bewölkt,23°,15°,2.png
2021-08-27 19:45,4-day fc,leicht bewölkt,25°,15°,2.png
2021-08-30 19:45,today,leicht bewölkt,24,15,2.png
2021-08-30 19:45,1-day fc,leicht bewölkt,25°,15°,2.png
2021-08-30 19:45,2-day fc,sonnig,26°,15°,1.png
2021-08-30 19:45,3-day fc,leicht bewölkt,25°,16°,2.png
2021-08-30 19:45,4-day fc,Regenschauer,23°,17°,10.png
2021-08-31 19:45,today,leicht bewölkt,24,15,2.png
2021-08-31 19:45,1-day fc,sonnig,25°,15°,1.png
2021-08-31 19:45,2-day fc,sonnig,25°,16°,1.png
2021-08-31 19:45,3-day fc,leicht bewölkt,25°,17°,2.png
2021-08-31 19:45,4-day fc,leicht bewölkt,25°,17°,2.png
2021-08-31 20:31,today,leicht bewölkt,24,15,2.png
2021-08-31 20:31,1-day fc,sonnig,25°,15°,1.png
2021-08-31 20:31,2-day fc,sonnig,25°,16°,1.png
2021-08-31 20:31,3-day fc,leicht bewölkt,25°,17°,2.png
2021-08-31 20:31,4-day fc,leicht bewölkt,25°,17°,2.png
2021-09-01 19:45,today,sonnig,25,15,1.png
2021-09-01 19:45,1-day fc,sonnig,25°,16°,1.png
2021-09-01 19:45,2-day fc,leicht bewölkt,24°,17°,2.png
2021-09-01 19:45,3-day fc,sonnig,25°,16°,1.png
2021-09-01 19:45,4-day fc,sonnig,25°,17°,1.png
2021-09-02 19:45,today,leicht bewölkt,25,16,2.png
2021-09-02 19:45,1-day fc,leicht bewölkt,25°,17°,2.png
2021-09-02 19:45,2-day fc,sonnig,25°,16°,1.png
2021-09-02 19:45,3-day fc,sonnig,26°,17°,1.png
2021-09-02 19:45,4-day fc,leicht bewölkt,26°,17°,2.png
2021-09-03 19:45,today,leicht bewölkt,25,17,2.png
2021-09-03 19:45,1-day fc,leicht bewölkt,25°,16°,2.png
2021-09-03 19:45,2-day fc,sonnig,26°,16°,1.png
2021-09-03 19:45,3-day fc,leicht bewölkt,26°,17°,2.png
2021-09-03 19:45,4-day fc,sonnig,26°,17°,1.png
2021-09-06 21:07,today,leicht bewölkt,26,17,2.png
2021-09-06 21:07,1-day fc,sonnig,26°,17°,1.png
2021-09-06 21:07,2-day fc,sonnig,25°,17°,1.png
2021-09-06 21:07,3-day fc,leicht bewölkt,25°,17°,2.png
2021-09-06 21:07,4-day fc,Regenschauer,24°,16°,10.png
2021-09-07 19:45,today,leicht bewölkt,26,17,2.png
2021-09-07 19:45,1-day fc,leicht bewölkt,25°,17°,2.png
2021-09-07 19:45,2-day fc,leicht bewölkt,25°,17°,2.png
2021-09-07 19:45,3-day fc,Regenschauer,24°,17°,10.png
2021-09-07 19:45,4-day fc,leicht bewölkt,25°,16°,2.png
2021-09-08 10:42,today,leicht bewölkt,25,17,2.png
2021-09-08 10:42,1-day fc,leicht bewölkt,25°,17°,2.png
2021-09-08 10:42,2-day fc,leicht bewölkt,24°,17°,2.png
2021-09-08 10:42,3-day fc,leicht bewölkt,24°,17°,2.png
2021-09-08 10:42,4-day fc,leicht bewölkt,25°,16°,2.png
2021-09-09 19:47,today,leicht bewölkt,25,17,2.png
2021-09-09 19:47,1-day fc,leicht bewölkt,24°,17°,2.png
2021-09-09 19:47,2-day fc,leicht bewölkt,26°,16°,2.png
2021-09-09 19:47,3-day fc,leicht bewölkt,26°,17°,2.png
2021-09-09 19:47,4-day fc,leicht bewölkt,25°,17°,2.png
2021-09-12 14:02,today,sonnig,26,17,1.png
2021-09-12 14:02,1-day fc,sonnig,26°,17°,1.png
2021-09-12 14:02,2-day fc,leicht bewölkt,24°,18°,2.png
2021-09-12 14:02,3-day fc,Regenschauer,22°,18°,10.png
2021-09-12 14:02,4-day fc,Regenschauer,24°,17°,10.png
2021-09-12 19:46,today,sonnig,26,17,1.png
2021-09-12 19:46,1-day fc,sonnig,26°,17°,1.png
2021-09-12 19:46,2-day fc,leicht bewölkt,24°,18°,2.png
2021-09-12 19:46,3-day fc,Regenschauer,22°,18°,10.png
2021-09-12 19:46,4-day fc,Regenschauer,24°,17°,10.png
2021-09-13 19:45,today,sonnig,27,17,1.png
2021-09-13 19:45,1-day fc,leicht bewölkt,25°,17°,2.png
2021-09-13 19:45,2-day fc,Regenschauer,23°,18°,10.png
2021-09-13 19:45,3-day fc,Gewitter,23°,18°,5.png
2021-09-13 19:45,4-day fc,Gewitter,23°,17°,5.png
2021-09-16 19:45,today,Regenschauer,20,16,10.png
2021-09-16 19:45,1-day fc,leicht bewölkt,23°,16°,2.png
2021-09-16 19:45,2-day fc,Regenschauer,22°,16°,10.png
2021-09-16 19:45,3-day fc,Gewitter,21°,15°,5.png
2021-09-16 19:45,4-day fc,leicht bewölkt,21°,14°,2.png
