date,type,desc,tx,tn,sym
2021-08-27 12:03,today,chauer,18,12,10.png
2021-08-27 12:03,1-day fc,bewölkt,16°,11°,3.png
2021-08-27 12:03,2-day fc,Regenschauer,16°,10°,10.png
2021-08-27 12:03,3-day fc,Regenschauer,17°,11°,10.png
2021-08-27 12:03,4-day fc,Regenschauer,19°,11°,10.png
2021-08-27 12:39,today,Regenschauer,18,12,10.png
2021-08-27 12:39,1-day fc,bewölkt,16°,11°,3.png
2021-08-27 12:39,2-day fc,Regenschauer,16°,10°,10.png
2021-08-27 12:39,3-day fc,Regenschauer,17°,11°,10.png
2021-08-27 12:39,4-day fc,Regenschauer,19°,11°,10.png
2021-08-27 12:42,today,Regenschauer,18,12,10.png
2021-08-27 12:42,1-day fc,bewölkt,16°,11°,3.png
2021-08-27 12:42,2-day fc,Regenschauer,16°,10°,10.png
2021-08-27 12:42,3-day fc,Regenschauer,17°,11°,10.png
2021-08-27 12:42,4-day fc,Regenschauer,19°,11°,10.png
2021-08-27 19:45,today,Regenschauer,18,12,10.png
2021-08-27 19:45,1-day fc,bewölkt,16°,11°,3.png
2021-08-27 19:45,2-day fc,Regenschauer,16°,10°,10.png
2021-08-27 19:45,3-day fc,Regenschauer,17°,11°,10.png
2021-08-27 19:45,4-day fc,Regenschauer,19°,11°,10.png
2021-08-30 19:45,today,Regenschauer,17,11,10.png
2021-08-30 19:45,1-day fc,leicht bewölkt,19°,11°,2.png
2021-08-30 19:45,2-day fc,sonnig,22°,11°,1.png
2021-08-30 19:45,3-day fc,sonnig,24°,11°,1.png
2021-08-30 19:45,4-day fc,leicht bewölkt,23°,13°,2.png
2021-08-31 19:45,today,bewölkt,18,11,3.png
2021-08-31 19:45,1-day fc,sonnig,22°,11°,1.png
2021-08-31 19:45,2-day fc,sonnig,24°,11°,1.png
2021-08-31 19:45,3-day fc,leicht bewölkt,24°,13°,2.png
2021-08-31 19:45,4-day fc,leicht bewölkt,24°,13°,2.png
2021-08-31 20:31,today,bewölkt,18,11,3.png
2021-08-31 20:31,1-day fc,sonnig,22°,11°,1.png
2021-08-31 20:31,2-day fc,sonnig,24°,11°,1.png
2021-08-31 20:31,3-day fc,leicht bewölkt,24°,13°,2.png
2021-08-31 20:31,4-day fc,leicht bewölkt,24°,13°,2.png
2021-09-01 19:45,today,sonnig,21,11,1.png
2021-09-01 19:45,1-day fc,sonnig,24°,11°,1.png
2021-09-01 19:45,2-day fc,leicht bewölkt,24°,13°,2.png
2021-09-01 19:45,3-day fc,leicht bewölkt,24°,13°,2.png
2021-09-01 19:45,4-day fc,leicht bewölkt,24°,13°,2.png
2021-09-02 19:45,today,leicht bewölkt,24,11,2.png
2021-09-02 19:45,1-day fc,leicht bewölkt,24°,13°,2.png
2021-09-02 19:45,2-day fc,leicht bewölkt,24°,13°,2.png
2021-09-02 19:45,3-day fc,leicht bewölkt,25°,13°,2.png
2021-09-02 19:45,4-day fc,leicht bewölkt,25°,14°,2.png
2021-09-03 19:45,today,leicht bewölkt,25,12,2.png
2021-09-03 19:45,1-day fc,leicht bewölkt,24°,13°,2.png
2021-09-03 19:45,2-day fc,sonnig,25°,13°,1.png
2021-09-03 19:45,3-day fc,leicht bewölkt,25°,13°,2.png
2021-09-03 19:45,4-day fc,leicht bewölkt,25°,14°,2.png
2021-09-06 21:07,today,sonnig,25,12,1.png
2021-09-06 21:07,1-day fc,sonnig,25°,13°,1.png
2021-09-06 21:07,2-day fc,sonnig,27°,14°,1.png
2021-09-06 21:07,3-day fc,leicht bewölkt,25°,15°,2.png
2021-09-06 21:07,4-day fc,Regenschauer,24°,14°,10.png
2021-09-07 19:45,today,leicht bewölkt,25,13,2.png
2021-09-07 19:45,1-day fc,leicht bewölkt,27°,14°,2.png
2021-09-07 19:45,2-day fc,leicht bewölkt,25°,15°,2.png
2021-09-07 19:45,3-day fc,Regenschauer,23°,14°,10.png
2021-09-07 19:45,4-day fc,Regenschauer,23°,14°,10.png
